2015-12-10 21:00:17 startup archives install
2015-12-10 21:00:17 install base-passwd:amd64 <none> 3.5.37
2015-12-10 21:00:17 status half-installed base-passwd:amd64 3.5.37
2015-12-10 21:00:17 status unpacked base-passwd:amd64 3.5.37
2015-12-10 21:00:17 status unpacked base-passwd:amd64 3.5.37
2015-12-10 21:00:17 configure base-passwd:amd64 3.5.37 3.5.37
2015-12-10 21:00:17 status unpacked base-passwd:amd64 3.5.37
2015-12-10 21:00:18 status half-configured base-passwd:amd64 3.5.37
2015-12-10 21:00:18 status installed base-passwd:amd64 3.5.37
2015-12-10 21:00:18 startup archives install
2015-12-10 21:00:18 install base-files:amd64 <none> 8+deb8u2
2015-12-10 21:00:18 status half-installed base-files:amd64 8+deb8u2
2015-12-10 21:00:18 status unpacked base-files:amd64 8+deb8u2
2015-12-10 21:00:18 status unpacked base-files:amd64 8+deb8u2
2015-12-10 21:00:18 configure base-files:amd64 8+deb8u2 8+deb8u2
2015-12-10 21:00:18 status unpacked base-files:amd64 8+deb8u2
2015-12-10 21:00:18 status unpacked base-files:amd64 8+deb8u2
2015-12-10 21:00:18 status unpacked base-files:amd64 8+deb8u2
2015-12-10 21:00:18 status unpacked base-files:amd64 8+deb8u2
2015-12-10 21:00:18 status unpacked base-files:amd64 8+deb8u2
2015-12-10 21:00:18 status unpacked base-files:amd64 8+deb8u2
2015-12-10 21:00:19 status half-configured base-files:amd64 8+deb8u2
2015-12-10 21:00:19 status installed base-files:amd64 8+deb8u2
2015-12-10 21:00:19 startup archives install
2015-12-10 21:00:19 upgrade dpkg 1.17.25 1.17.25
2015-12-10 21:00:19 status half-configured dpkg 1.17.25
2015-12-10 21:00:19 status unpacked dpkg 1.17.25
2015-12-10 21:00:19 status half-installed dpkg 1.17.25
2015-12-10 21:00:19 status half-installed dpkg 1.17.25
2015-12-10 21:00:19 status unpacked dpkg 1.17.25
2015-12-10 21:00:19 status unpacked dpkg 1.17.25
2015-12-10 21:00:20 configure dpkg 1.17.25 1.17.25
2015-12-10 21:00:20 status unpacked dpkg 1.17.25
2015-12-10 21:00:20 status unpacked dpkg 1.17.25
2015-12-10 21:00:20 status unpacked dpkg 1.17.25
2015-12-10 21:00:20 status unpacked dpkg 1.17.25
